地区,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年,1994年,1993年,1992年,1991年,1990年,1989年,1988年,1987年,1986年,1985年,1984年,1983年,1982年,1981年,1980年,1979年,1978年,1977年,1976年,1975年,1974年,1973年
北京,,5.39,,5.49,5.58,5.3,5.2,4.95,4.92,4.52,4.31,4.27,4.41,4.56,4.75,4.92,4.97,5.2,5.4,5.2,5.7,5.3,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
天津,,6.23,,5.3,5.42,5.05,5.54,5.61,6.05,6,6.12,6.08,5.58,5.7,5.94,5.86,6.07,6.01,5.97,6.04,6.04,5.94,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
河北,,7.58,,6.12,6.38,6.6,6.36,5.79,6.23,6.87,6.41,6.52,6.41,6.43,6.49,6.78,6.59,6.75,6.19,6.27,6.25,6.18,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,
山西,,7.32,,5.85,5.32,5.45,5.52,5.56,5.93,5.57,5.83,5.61,5.38,5.98,6.01,5.97,5.73,6,6.11,6.04,6.14,5.9,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
内蒙古,,7.54,,5.66,5.95,5.74,5.69,5.32,5.75,5.62,5.52,5.43,5.54,5.61,5.54,5.73,5.91,5.46,5.98,6.17,5.92,5.79,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
辽宁,,8.89,,7.25,7.39,6.93,6.78,6.59,6.23,6.12,6.54,6.05,6.26,5.09,5.22,5.36,5.3,6.04,5.6,5.83,6.04,6.1,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉林,,8.08,,6.9,6.26,6.5,5.6,5.53,6.22,5.04,5.37,5.51,5.88,4.74,5.04,5.05,5,5.32,5.63,5.64,5.11,5.38,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
黑龙江,,8.7,,6.74,6.67,6.63,6.61,6.6,6.46,6.08,6.03,5.92,5.03,5.42,5.68,5.39,5.18,5.2,5.45,5.45,5.44,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海,,5.59,,5.5,5.4,5.3,5,5.07,5.21,5.24,5.36,5.1,5.07,5.94,6.17,6.03,5.89,6.08,6,6.2,5.95,5.97,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
江苏,,6.77,,7.04,7.03,7.03,7.03,7.03,7.02,7.01,6.99,6.98,6.88,6.99,7.04,7.07,7.08,7.03,7.2,7.03,6.99,6.62,6.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
