指标,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
出生人数(人口抽样调查)(人),175309,11377,11022,11379,9684,11468,12405,12169,11509,161042,13450,13328
15-19岁育龄妇女生育孩子的人数(人口抽样调查)(人),5305,354,261,241,236,242,228,178,227,4209,279,250
15岁育龄妇女生育孩子的人数(人口抽样调查)(人),106,5,2,,7,1,1,,0,17,6,6
16岁育龄妇女生育孩子的人数(人口抽样调查)(人),340,16,14,11,9,10,2,,7,94,13,10
17岁育龄妇女生育孩子的人数(人口抽样调查)(人),747,55,44,38,35,20,15,12,25,415,32,22
18岁育龄妇女生育孩子的人数(人口抽样调查)(人),1410,101,86,72,61,53,51,61,60,1072,67,57
19岁育龄妇女生育孩子的人数(人口抽样调查)(人),2703,178,115,120,123,158,159,105,135,2611,161,155
20-24岁育龄妇女生育孩子的人数(人口抽样调查)(人),42170,3606,3320,3735,3547,3779,3867,3755,3948,61889,4969,5066
20岁育龄妇女生育孩子的人数(人口抽样调查)(人),4352,361,264,266,276,391,350,366,368,6735,415,446
21岁育龄妇女生育孩子的人数(人口抽样调查)(人),6184,521,451,514,642,642,767,696,640,11016,863,830
22岁育龄妇女生育孩子的人数(人口抽样调查)(人),8139,609,625,887,760,920,874,793,860,13947,1149,1097
23岁育龄妇女生育孩子的人数(人口抽样调查)(人),9960,1009,968,1058,886,968,894,888,947,15891,1248,1292
24岁育龄妇女生育孩子的人数(人口抽样调查)(人),13535,1106,1013,1009,982,858,983,1012,1133,14300,1293,1401
25-29岁育龄妇女生育孩子的人数(人口抽样调查)(人),71154,4481,4256,4227,3420,3651,3948,4100,3813,53367,4952,4974
25岁育龄妇女生育孩子的人数(人口抽样调查)(人),16015,1074,991,1008,795,855,861,1023,947,13794,1251,1234
26岁育龄妇女生育孩子的人数(人口抽样调查)(人),15451,1097,963,968,724,762,930,865,856,11978,1115,1082
27岁育龄妇女生育孩子的人数(人口抽样调查)(人),14950,899,895,784,615,801,752,840,787,10037,957,1018
28岁育龄妇女生育孩子的人数(人口抽样调查)(人),13683,756,790,776,605,634,736,751,682,9082,857,872
29岁育龄妇女生育孩子的人数(人口抽样调查)(人),11055,654,615,691,681,600,670,622,541,8477,771,768
30-34岁育龄妇女生育孩子的人数(人口抽样调查)(人),34969,1994,2074,2045,1644,2007,2229,2310,2236,30521,2521,2405
30岁育龄妇女生育孩子的人数(人口抽样调查)(人),8893,535,512,629,422,494,580,509,558,7660,674,678
31岁育龄妇女生育孩子的人数(人口抽样调查)(人),7729,456,534,470,392,444,432,552,517,7401,601,580
32岁育龄妇女生育孩子的人数(人口抽样调查)(人),7164,413,384,392,299,393,460,475,465,6196,512,485
33岁育龄妇女生育孩子的人数(人口抽样调查)(人),6281,308,371,311,290,347,405,405,385,5055,405,379
34岁育龄妇女生育孩子的人数(人口抽样调查)(人),4901,281,273,243,241,328,353,369,311,4210,329,283
35-39岁育龄妇女生育孩子的人数(人口抽样调查)(人),13906,690,785,770,594,1060,1212,1189,940,9157,619,533
35岁育龄妇女生育孩子的人数(人口抽样调查)(人),4101,237,220,181,145,280,303,310,294,3102,227,206
36岁育龄妇女生育孩子的人数(人口抽样调查)(人),3461,140,179,199,129,225,278,278,232,2538,156,123
37岁育龄妇女生育孩子的人数(人口抽样调查)(人),2588,136,141,150,134,228,210,262,175,1605,105,90
38岁育龄妇女生育孩子的人数(人口抽样调查)(人),2028,99,126,140,117,168,246,174,147,1076,73,70
39岁育龄妇女生育孩子的人数(人口抽样调查)(人),1730,79,120,100,68,159,174,166,91,836,57,43
40-44岁育龄妇女生育孩子的人数(人口抽样调查)(人),4908,200,242,284,179,428,566,390,259,1447,91,74
40岁育龄妇女生育孩子的人数(人口抽样调查)(人),1379,58,77,112,53,120,152,98,69,553,42,33
41岁育龄妇女生育孩子的人数(人口抽样调查)(人),1104,51,51,61,57,116,111,89,64,378,25,21
42岁育龄妇女生育孩子的人数(人口抽样调查)(人),932,48,40,55,25,62,100,74,40,284,12,9
43岁育龄妇女生育孩子的人数(人口抽样调查)(人),785,26,45,33,26,71,117,69,38,122,6,6
44岁育龄妇女生育孩子的人数(人口抽样调查)(人),710,18,28,23,18,58,86,61,46,110,7,6
45-49岁育龄妇女生育孩子的人数(人口抽样调查)(人),2896,52,84,77,62,270,284,198,86,451,19,26
45岁育龄妇女生育孩子的人数(人口抽样调查)(人),651,13,27,14,14,68,99,48,19,84,3,5
46岁育龄妇女生育孩子的人数(人口抽样调查)(人),595,14,17,22,9,65,74,31,16,92,2,6
47岁育龄妇女生育孩子的人数(人口抽样调查)(人),562,11,17,18,13,49,32,47,12,80,4,6
48岁育龄妇女生育孩子的人数(人口抽样调查)(人),531,9,9,5,16,40,43,26,17,100,5,4
49岁育龄妇女生育孩子的人数(人口抽样调查)(人),558,5,14,18,10,47,35,47,22,96,5,4
