指标,2021年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
女性人口数(人口抽样调查)(人),730212,534042,559349,559174,564932,10395195,548391,545005,548307,558170,573115,580182,585999,588363,8400884,615898,617098,616197
0-4岁女性人口数(人口抽样调查)(人),34690,29361,31506,31845,31744,575117,29506,29218,29287,29583,27018,27057,26833,27436,407393,27784,28468,
5-9岁女性人口数(人口抽样调查)(人),45124,27992,29043,28969,29165,536190,28807,28556,28057,28037,28296,29088,30927,31646,483660,34788,36934,
10-14岁女性人口数(人口抽样调查)(人),42959,27314,28473,27798,27647,504836,26671,26422,27475,28772,33610,36717,38936,41079,631770,48850,53021,
15-19岁女性人口数(人口抽样调查)(人),36737,25560,26706,27217,28363,539299,30136,32538,35005,38322,39345,43329,46481,49542,694399,52676,49720,
20-24岁女性人口数(人口抽样调查)(人),36236,28665,31965,34689,37736,745694,43894,46446,49709,53323,43636,40883,40081,38889,536796,40440,40569,
25-29岁女性人口数(人口抽样调查)(人),43540,39555,45268,49251,52439,985108,49044,46443,44679,44282,37803,38920,39510,38242,571055,44959,47263,
30-34岁女性人口数(人口抽样调查)(人),61955,46686,46358,44249,43503,778959,40768,40691,41047,40240,39901,41400,44130,47580,734887,58944,61628,
35-39岁女性人口数(人口抽样调查)(人),53057,38447,40370,40609,39492,738538,40032,41277,43530,47325,53461,55269,58270,57920,838354,61084,61323,
40-44岁女性人口数(人口抽样调查)(人),47817,37810,41017,42983,46388,892759,49873,50753,52620,52585,56494,57072,58198,58505,742898,50038,44727,
45-49岁女性人口数(人口抽样调查)(人),56225,46969,50276,51815,51429,945069,48795,48245,48748,49419,46719,42640,38140,38247,571720,44289,46561,
50-54岁女性人口数(人口抽样调查)(人),64103,46079,47911,47778,48116,797433,38439,34178,30362,30383,41893,45668,45858,44964,614170,42563,40584,
55-59岁女性人口数(人口抽样调查)(人),60752,36886,34636,29579,29374,586543,32628,34827,35267,35453,39522,38260,36243,33737,445014,30316,28071,
60-64岁女性人口数(人口抽样调查)(人),35399,30244,33923,34017,33887,606510,30826,29026,27499,26020,27342,25929,25050,23939,325791,23333,22678,
65-69岁女性人口数(人口抽样调查)(人),41394,28119,27825,26271,24576,425407,21137,19638,18851,17990,19837,19361,19554,19536,277929,19952,20737,
70-74岁女性人口数(人口抽样调查)(人),28962,18374,17905,16799,16132,286765,14606,14157,14234,14432,16234,16746,16851,16550,230928,16442,15650,
75-79岁女性人口数(人口抽样调查)(人),18429,12042,12054,11779,11705,215643,11151,11199,11126,11216,11531,11445,10915,10781,154487,10047,10277,
80-84岁女性人口数(人口抽样调查)(人),12368,8081,8389,8048,7884,141534,7302,7011,6719,6640,6616,6490,6352,6221,89978,6082,5695,
85-89岁女性人口数(人口抽样调查)(人),7252,4130,4033,3849,3803,66910,3360,3152,2921,2941,2818,2889,2676,2581,36107,2379,2357,
90-94岁女性人口数(人口抽样调查)(人),2606,1395,1365,1304,1271,21935,1175,1003,955,991,813,830,791,764,11040,759,703,
95岁以上女性人口数(人口抽样调查)(人),608,333,327,324,279,4947,241,227,217,216,225,190,206,204,2509,171,134,
