指标,2021年,2019年,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年
男性人口数(人口抽样调查)(人),763842,557834,585299,586072,593087,10917046,576011,573428,576354,587039,591871,598339,602740,604303,8584882,637167,643400,642754
0-4岁男性人口数(人口抽样调查)(人),38288,33361,35887,36468,36703,668449,34484,34273,34694,35247,33140,33352,33163,33121,499709,34089,34509,
5-9岁男性人口数(人口抽样调查)(人),50970,32709,34279,34344,34666,638535,34326,33890,33252,33242,34705,35314,37275,38942,577004,41433,44193,
10-14岁男性人口数(人口抽样调查)(人),49345,32530,33775,32929,32773,598685,31616,31141,32370,33709,39749,42560,45342,48057,721493,54921,59219,
15-19岁男性人口数(人口抽样调查)(人),42677,30261,31552,32034,33199,626249,34584,36177,38909,42066,44170,49438,52436,55481,749084,56583,54997,
20-24岁男性人口数(人口抽样调查)(人),41020,32854,36085,38496,41366,809143,46891,50961,52033,55243,44001,40003,38520,37271,499927,39164,40027,
25-29岁男性人口数(人口抽样调查)(人),48189,42186,47710,51451,54225,1007144,49801,46693,45257,44976,37678,37497,37245,35868,539235,43530,46629,
30-34岁男性人口数(人口抽样调查)(人),66101,47285,46843,44709,44070,794090,41777,41986,42539,41908,38833,40627,42623,45819,711021,59010,61870,
35-39岁男性人口数(人口抽样调查)(人),56115,39256,41517,41944,40992,769056,41761,43057,45524,49570,52579,54028,57121,56033,813134,61490,61929,
40-44岁男性人口数(人口抽样调查)(人),50206,39234,42557,44730,48342,932187,52086,53017,54913,54806,55862,56636,57649,57276,732641,50558,46740,
45-49岁男性人口数(人口抽样调查)(人),58320,48652,52108,53661,53194,976048,50455,49884,50563,51434,45647,42061,37944,38248,575858,45320,47753,
50-54岁男性人口数(人口抽样调查)(人),65216,47045,48939,48982,49491,818405,39470,35355,31554,31821,42441,46290,46624,45643,622759,43875,41095,
55-59岁男性人口数(人口抽样调查)(人),61237,37183,35208,30244,30264,606808,33781,35892,36136,36213,39592,39294,36982,34539,462421,31459,29401,
60-64岁男性人口数(人口抽样调查)(人),35357,30468,34092,34027,33810,604925,30781,29230,27928,26688,28348,26778,25948,24947,342519,24266,23345,
65-69岁男性人口数(人口抽样调查)(人),39951,26967,26974,25281,23878,425036,20573,19577,18728,18064,20277,19823,20296,20460,286166,20110,20974,
70-74岁男性人口数(人口抽样调查)(人),27247,17291,16905,15790,15545,276332,14528,13748,13991,14394,16258,16556,16385,16142,224027,16095,15833,
75-79岁男性人口数(人口抽样调查)(人),16457,10568,10745,10774,10744,195597,10179,10054,10125,9959,10997,10545,10070,9850,135684,9111,9033,
80-84岁男性人口数(人口抽样调查)(人),10175,6242,6457,6660,6446,111726,5987,5759,5428,5324,5178,5197,4951,4604,66132,4387,4137,
85-89岁男性人口数(人口抽样调查)(人),5066,2906,2870,2758,2613,44847,2244,2104,1859,1855,1971,1888,1760,1561,20475,1348,1330,
90-94岁男性人口数(人口抽样调查)(人),1643,719,665,660,630,11838,581,555,484,446,361,375,332,366,4785,355,323,
95岁以上男性人口数(人口抽样调查)(人),263,117,131,131,134,1947,106,77,66,73,83,78,75,75,810,63,63,
