指标,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
第三孩及以上出生人口数(人口抽样调查)(人),12516,735,490,500,419,412,456,446,447,8662,463,628
15-19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),47,7,1,1,1,1,2,,1,11,6,3
15岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),,,,,,,,,0,,1,
16岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),,,,,,,,,0,,1,
17岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),3,,,,,,,,0,1,1,
18岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),12,2,1,1,,,,,1,3,1,1
19岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),32,5,,1,1,1,1,,0,7,2,2
20-24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),1079,60,30,41,32,23,30,24,31,560,43,78
20岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),66,1,2,2,,3,,3,0,23,4,4
21岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),122,6,1,2,3,2,2,1,8,45,4,7
22岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),191,7,3,5,5,1,9,5,3,89,7,12
23岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),261,19,5,10,8,5,7,3,9,158,10,24
24岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),440,27,19,22,16,12,11,12,11,244,18,31
25-29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),3788,225,136,117,119,101,121,93,122,2571,143,190
25岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),627,33,16,17,13,15,18,11,13,351,24,29
26岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),700,53,28,20,18,16,19,19,26,467,25,34
27岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),789,52,27,29,31,19,19,21,19,488,27,42
28岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),838,58,33,28,19,18,28,29,35,604,31,39
29岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),833,29,33,24,37,34,37,12,28,661,35,44
30-34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),3787,254,153,163,146,123,152,184,139,3192,154,232
30岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),818,54,33,35,33,19,40,37,28,651,35,53
31岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),776,56,29,29,36,32,23,51,29,727,34,48
32岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),775,52,30,40,27,26,29,35,27,665,30,43
33岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),753,48,41,26,28,24,32,28,38,591,29,45
34岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),666,43,21,33,22,21,28,33,16,559,26,42
35-39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),2253,122,113,110,85,105,94,102,112,1705,81,95
35岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),592,40,25,28,9,17,20,21,36,456,19,30
36岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),534,21,31,18,20,19,23,21,31,441,19,20
37岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),423,21,15,29,25,25,21,31,16,317,17,19
38岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),361,25,23,22,22,25,16,21,19,261,15,16
39岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),342,15,18,14,9,18,14,8,10,230,11,11
40-44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),979,49,41,56,30,41,43,26,32,458,28,21
40岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),273,10,16,17,12,9,12,5,7,142,9,8
41岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),225,13,6,13,7,9,10,4,9,117,9,4
42岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),189,11,5,16,3,7,9,10,6,118,5,4
43岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),149,8,11,6,2,8,7,3,5,42,3,3
44岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),143,6,3,4,6,7,6,5,5,40,2,2
45-49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),583,18,17,11,5,17,12,16,10,164,7,10
45岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),132,5,7,3,1,6,5,6,3,28,1,2
46岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),109,6,4,3,,4,3,2,1,26,1,2
47岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),115,3,2,5,,3,1,,1,33,2,2
48岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),112,2,2,,1,1,2,3,1,41,2,2
49岁育龄妇女第三孩次及以上出生人口数(人口抽样调查)(人),114,1,1,,3,4,2,5,4,37,1,1
