指标,2015年,2014年,2013年,2012年,2011年,2009年,2008年,2007年,2006年,2005年,2004年,2003年
第二孩次出生人口数(人口抽样调查)(人),69695,4082,3431,3462,2837,3363,3573,3590,3492,50997,3669,3541
15-19岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),644,28,17,9,17,22,11,12,16,205,15,9
15岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),9,,,,,,,,0,,1,
16岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),27,,1,,,2,,,0,5,2,1
17岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),64,3,1,1,2,2,1,2,1,12,2,1
18岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),161,10,4,2,4,6,,3,6,50,3,1
19岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),383,15,11,6,11,13,10,6,9,137,6,7
20-24岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),10270,812,512,604,458,362,382,308,312,5584,333,373
20岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),672,34,25,28,19,25,21,14,16,368,15,22
21岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),1146,80,55,50,55,38,65,36,26,669,39,37
22岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),1832,117,74,132,96,67,61,60,51,1056,64,63
23岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),2611,258,156,176,140,107,102,80,98,1564,94,108
24岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),4009,322,201,218,148,124,133,118,120,1927,121,143
25-29岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),27580,1664,1347,1241,1010,1109,1099,1102,1062,17693,1314,1344
25岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),5209,343,254,225,161,179,157,169,159,2614,164,175
26岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),5535,370,264,261,186,205,215,174,195,3213,216,224
27岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),5844,318,315,255,185,241,209,237,215,3434,266,270
28岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),5829,323,276,254,223,246,256,259,262,3966,312,325
29岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),5163,310,239,246,255,238,263,263,232,4466,356,351
30-34岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),19619,1047,985,984,876,1102,1160,1259,1391,20404,1560,1431
30岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),4572,262,209,268,171,242,267,256,307,4618,369,347
31岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),4257,226,265,227,194,226,238,270,304,4893,369,339
32岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),4104,220,196,194,162,241,239,267,311,4347,335,314
33岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),3719,175,183,172,181,193,220,239,260,3604,267,249
34岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),2968,163,134,124,168,200,196,226,209,2943,220,182
35-39岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),8195,393,418,445,363,584,625,683,576,6177,397,331
35岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),2494,132,116,102,89,173,189,198,174,2195,152,130
36岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),2102,82,89,126,80,139,133,152,139,1729,102,75
37岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),1528,80,81,80,82,123,107,157,116,1073,68,57
38岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),1140,49,66,84,68,83,122,91,92,690,41,42
39岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),930,50,66,53,43,66,73,84,56,490,33,27
40-44岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),2241,112,122,150,89,122,190,159,107,749,44,42
40岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),698,38,36,61,23,45,69,44,40,327,25,22
41岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),520,22,25,36,32,34,39,43,30,201,10,12
42岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),403,29,22,21,14,19,23,27,11,120,3,3
43岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),332,12,23,20,11,16,34,26,16,60,2,2
44岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),288,11,15,11,9,7,26,19,11,41,3,3
45-49岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),1146,26,29,28,26,57,84,60,27,185,7,11
45岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),252,8,8,3,7,15,30,21,6,42,2,2
46岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),240,4,7,10,5,15,24,11,4,38,,3
47岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),213,6,11,8,8,9,9,9,3,34,,4
48岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),210,5,1,1,4,11,12,5,6,36,2,1
49岁育龄妇女第二孩次出生人口数(人口抽样调查)(人),231,4,2,7,2,7,9,15,9,36,2,1
